name;duration(ms);pkg(µj);dram(µj);temp(C)
Longest_common_substring_1;2.588;32288;488;50.5
Polynomial_long_division_0;3.101;65430;488;49
Happy_numbers_0;2.902;65552;977;48.5
Last_letter-first_letter_0;1,557.765;61047451;845762;53
Zumkeller_numbers_0;1,446.535;51563528;681456;55
Bernoulli_numbers_2;22.297;695616;10742;53.5
Sequence_of_non-squares_0;17.722;516600;7263;46.5
Integer_roots_0;490.535;18369215;280090;50.5
Count_in_factors_0;2.269;33631;488;50
Eban_numbers_0;12,552.360;410053393;6347457;47
100_doors_0;2.232;33935;488;49
Topological_sort_0;11.166;329773;4395;50.5
Damm_algorithm_0;2.561;66651;976;47.5
Five_weekends_0;5.185;134399;2319;44
Same_fringe_0;6.639;165771;2808;52
Weird_numbers_0;61.800;2160150;28931;56
Chinese_zodiac_0;2.979;68115;977;50.5
Determine_if_two_triangles_overlap_0;4.082;101684;1464;50
Ramer-Douglas-Peucker_line_simplification_0;3.681;107727;1770;49.5
Subset_sum_problem_0;4.242;103882;1465;46.5
Comma_quibbling_0;3.153;69335;1038;49
Repeat_0;2.484;63355;488;48.5
Population_count_0;3.720;67138;1038;48
Search_a_list_of_records_0;3.291;101318;1038;52
